original_name,unified_name,category
THY1,THY1,MARKER
CD15,CD15,MARKER
TUBB,TUBB,MARKER
MKI67,MKI67,MARKER
cKIT,KIT,MARKER
beta-catenin,BCATENIN,MARKER
CDKN1A,CDKN1A,MARKER
KRT_PAN,PANCYTOKERATIN,MARKER
p_S6,RPS6_PHOSPHO,MARKER
LAG-3,LAG3,MARKER
pan-CK,PANCYTOKERATIN,MARKER
Phospho-ERK-1/2 (Thr202, Tyr204) (1),ERK_PHOSPHO,MARKER
CHGA,CHGA,MARKER
CCR7,CCR7,MARKER
Phospho-pRb (Ser807, Ser811),RB_PHOSPHO,MARKER
FoxP3,FOXP3,MARKER
CD183,CXCR5,MARKER
Synapto,SYNAPTOPHYSIN,MARKER
SNAI2,SNAI2,MARKER
PAX5,PAX5,MARKER
PTPRCRA,PTPRC,MARKER
PANCYTOKERATIN,PANCYTOKERATIN,MARKER
ICAM1,ICAM1,MARKER
iNOS,NOS2,MARKER
GITR,TNFRSF18,MARKER
Nestin,NES,MARKER
CD147,CD147,MARKER
Lysozyme,LYZ,MARKER
CDH12,CDH12,MARKER
CK-19,KRT19,MARKER
VEGF,VEGFA,MARKER
Collagen alpha-1(IV) chain,COLLAGEN_IV,MARKER
pS6,RPS6_PHOSPHO,MARKER
CD206,MSR1,MARKER
CEACAM1,CEACAM1,MARKER
IDO,IDO1,MARKER
TWIST1,TWIST1,MARKER
AR,AR,MARKER
Vimentin (2),VIMENTIN,MARKER
CDH1,CDH1,MARKER
CD107A,LAMP1,MARKER
PCSK2,PCSK2,MARKER
EGFR,EGFR,MARKER
MHC class I antigen ABC,HLA_ABC,MARKER
PHOSPHO_HISTONEH3,HISTONEH3_PH,MARKER
CK-17,KRT17,MARKER
SYP,SYNAPTOPHYSIN,MARKER
CXCR5,CXCR5,MARKER
CD123,IL3RA,MARKER
Arginase1,ARG1,MARKER
Lamin-B1,LMNB1,MARKER
CD194,CCR4,MARKER
GranzymeB,GZMB,MARKER
CD3e,CD3E,MARKER
Siglec8,SIGLEC8,MARKER
Hoechst,HOECHST,TECHNICAL
HISTONEH3,HISTONEH3,MARKER
MAP-2,MAP2,MARKER
PPY,PPY,MARKER
pRB,RB_PHOSPHO,MARKER
CD197,CCR7,MARKER
FUT4,FUT4,MARKER
CD273,PDCD1LG2,MARKER
Lyve1,LYVE1,MARKER
HistoneH3,HISTONEH3,MARKER
Antigen Ki67 (1),MKI67,MARKER
Ki67_570,MKI67,MARKER
p21,CDKN1A,MARKER
CAIX,CA9,MARKER
RPS6_PHOSPHO,RPS6_PHOSPHO,MARKER
MHCII,HLA_DRA,MARKER
MUC2,MUC2,MARKER
Hepar1,GPC3,MARKER
SOX10,SOX10,MARKER
CD154,CD40LG,MARKER
B2M,B2M,MARKER
SMA,ACTA2,MARKER
CK14,KRT14,MARKER
CD279,PDCD1,MARKER
T-bet,TBET,MARKER
PDGFRb,PDGFRB,MARKER
MUC1,MUC1,MARKER
pHH3,PH3,MARKER
DNA10,DNA10,TECHNICAL
p_mTOR,MTOR_PHOSPHO,MARKER
Sox9,SOX9,MARKER
CASP3_CLEAVED,CASP3_CLEAVED,MARKER
Lamin-A/C,LMNA,MARKER
pCREB,CREB_PHOSPHO,MARKER
pH3,PH3,MARKER
CD1c,CD1C,MARKER
CK8_18,KRT8_18,MARKER
CD36,CD36,MARKER
Vimentin (1),VIMENTIN,MARKER
GATA3,GATA3,MARKER
EpCAM,EPCAM,MARKER
Phospho-RNA polymerase II subunit B1 CTD (Ser2),POLR2B_PHOSPHO,MARKER
PD1,PDCD1,MARKER
KIFC1,KIFC1,MARKER
FOXOA3,FOXO3,MARKER
yH2AX,H2AX_PHOSPHO,MARKER
FN1,FN1,MARKER
CD11b,ITGAM,MARKER
CCNB1,CCNB1,MARKER
Bcatenin,BCATENIN,MARKER
pSTAT1,STAT1_PHOSPHO,MARKER
CD44,CD44,MARKER
PD-L2,PDCD1LG2,MARKER
SST,SST,MARKER
CD152,CTLA4,MARKER
KI-67,MKI67,MARKER
SLC2A1,SLC2A1,MARKER
Keratin,KRT,MARKER
KIT,KIT,MARKER
CD49f,ITGA6,MARKER
CLEAVED_CASPASE3,CASP3_CLEAVED,MARKER
CD8,CD8A,MARKER
B3GAT1,B3GAT1,MARKER
HE4,WFDC2,MARKER
cCASP3,CASP3_CLEAVED,MARKER
Prox1,PROX1,MARKER
CD23,FCER2,MARKER
CTLA4,CTLA4,MARKER
PCNA,PCNA,MARKER
G1/S-specific cyclin-E1,CCNE1,MARKER
PLK1,PLK1,MARKER
HISTONEH3_PH,HISTONEH3_PH,MARKER
LAG3,LAG3,MARKER
HSP 90,HSP90,MARKER
Tbet,TBET,MARKER
CD45,PTPRC,MARKER
GRANZYMEB,GZMB,MARKER
CD9,CD9,MARKER
cMyc,MYC,MARKER
CD85j,LILRB1,MARKER
CDH,CDH,MARKER
Phospho-ERK-1/2 (Thr202, Tyr204) (2),ERK_PHOSPHO,MARKER
ITGA6,ITGA6,MARKER
CleavedCaspase3,CASP3_CLEAVED,MARKER
VWF,VWF,MARKER
SM-actin,ACTA2,MARKER
CD57,B3GAT1,MARKER
ENTPD1,ENTPD1,MARKER
Collagen,COLLAGEN,MARKER
ERK12,ERK_PHOSPHO,MARKER
H3K27me3,H3K27ME3,MARKER
IDO-1,IDO1,MARKER
HLA-B,HLA_B,MARKER
DNA5,DNA5,TECHNICAL
UPK3,UPK3,MARKER
c_Myc,MYC,MARKER
CD73,NT5E,MARKER
CollagenTypeI,COLLAGEN1,MARKER
HIF-1a,HIF1A,MARKER
TTF1,TTF1,MARKER
VISTA,VISTA,MARKER
CK-14,KRT14,MARKER
CD8a,CD8A,MARKER
IgM,IGHM,MARKER
LaminB1,LMNB1,MARKER
Arginase-1,ARG1,MARKER
E2F-1,E2F1,MARKER
aDefensin5,DEFA5,MARKER
IL6,IL6,MARKER
Phospho-40S ribosomal protein S6 (Ser235, Ser236),RPS6_PHOSPHO,MARKER
ECad,CDH1,MARKER
CD25,IL2RA,MARKER
CMYC,MYC,MARKER
CA9,CA9,MARKER
Phospho-mTOR (Ser2448),MTOR_PHOSPHO,MARKER
PIN,PIN,TECHNICAL
Chromogranin A,CHGA,MARKER
CD63,CD63,MARKER
PanCK,PANCYTOKERATIN,MARKER
TP53,TP53,MARKER
Foxp3,FOXP3,MARKER
aDef5,DEFA5,MARKER
Desmin,DES,MARKER
HLA_DR,HLA_DRA,MARKER
KI_67,MKI67,MARKER
CD69,CD69,MARKER
PCNA_2,PCNA,MARKER
NKG2D,KLRK1,MARKER
cytokeratin,KRT,MARKER
CD47,CD47,MARKER
CD34,CD34,MARKER
pSTAT3,STAT3_PHOSPHO,MARKER
HLA-DR,HLA_DRA,MARKER
MART1,MLANA,MARKER
cPARP,CASP3_CLEAVED,MARKER
PDGFRB,PDGFRB,MARKER
Granzyme B,GZMB,MARKER
CD19,CD19,MARKER
ITLN1,ITLN1,MARKER
CD35,CR1,MARKER
PECAM1,PECAM1,MARKER
DNA2,DNA2,TECHNICAL
HIF1a,HIF1A,MARKER
CD11c,ITGAX,MARKER
